,dia,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
110,111,5.57,84.51,60.03,16.43,21.89,26.39,9.96,60.0,76.24,88.0,2.62,1015.85,14.67,5.74
111,112,6.48,86.01,60.26,16.53,21.54,26.58,10.05,60.57,77.03,88.57,1.06,1015.95,16.17,5.7
112,113,6.05,84.21,60.61,16.65,21.73,26.3,9.64,60.81,74.44,85.29,4.79,1016.41,16.19,5.63
113,114,6.43,82.16,60.09,16.26,21.21,25.77,9.51,64.33,78.65,88.19,3.74,1016.55,16.29,5.6
114,115,6.14,80.74,61.07,16.77,20.83,25.18,8.41,66.62,80.06,90.48,3.34,1015.67,14.89,5.02
115,116,6.14,78.42,58.75,15.83,20.2,24.37,8.54,68.29,80.62,90.48,10.8,1015.63,16.87,5.49
116,117,5.55,78.68,57.3,15.15,19.92,24.07,8.92,62.6,78.05,89.6,6.12,1017.09,16.57,5.88
117,118,6.24,80.44,54.97,14.04,19.43,24.7,10.66,59.33,77.0,89.9,2.55,1018.33,17.13,5.48
118,119,6.9,80.24,55.55,14.23,19.61,24.67,10.44,61.52,78.08,90.24,2.81,1018.07,14.79,5.02
119,120,6.24,76.47,56.29,14.61,19.54,23.31,8.7,64.67,78.78,90.19,2.99,1017.36,15.97,5.26
120,121,6.35,76.54,54.45,13.76,18.65,23.11,9.35,59.0,76.17,89.65,2.4,1017.76,16.77,6.25
121,122,6.15,78.95,54.22,13.68,18.6,23.4,9.72,61.05,76.9,87.45,2.02,1018.1,19.05,6.73
122,123,6.62,78.91,56.25,14.78,19.59,24.4,9.62,64.0,80.05,91.95,2.2,1017.4,15.52,5.71
123,124,6.3,77.7,58.71,15.61,20.06,24.24,8.64,66.05,80.83,91.2,12.72,1016.94,14.57,5.76
124,125,7.15,78.06,56.74,14.88,19.73,24.01,9.14,63.75,80.02,91.15,3.76,1017.87,16.27,5.56
125,126,6.43,74.99,57.41,15.28,19.06,22.9,7.62,68.24,81.54,91.48,2.7,1017.78,16.78,5.85
126,127,6.55,74.21,55.04,14.3,18.32,22.26,7.97,66.5,80.28,90.4,3.14,1019.8,14.43,6.56
127,128,6.6,73.49,53.82,13.54,17.82,22.02,8.48,65.7,80.17,90.15,2.09,1020.05,15.93,5.44
128,129,7.67,75.74,53.99,13.71,18.36,23.14,9.43,63.95,80.36,91.57,4.0,1020.45,14.54,5.49
129,130,8.67,76.83,55.88,14.28,18.85,23.9,9.62,63.29,81.24,93.76,3.08,1019.17,13.91,4.6
130,131,6.76,76.02,56.4,14.55,19.03,23.55,9.0,66.76,81.03,90.33,4.05,1018.01,14.89,4.98
131,132,6.6,74.87,55.88,14.67,19.19,23.16,8.49,65.4,80.02,90.3,2.28,1017.98,14.0,6.5
132,133,7.2,75.68,56.65,14.79,18.56,22.7,7.92,68.55,83.58,93.95,5.44,1018.21,11.14,5.1
133,134,6.95,75.31,55.25,13.78,18.36,23.24,9.46,68.67,82.49,93.0,3.08,1017.78,14.84,4.85
