obito,tmin_3h,tmin,temp,tmax_3h,tmax,amplitude_t_3h,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
8,15.2,14.1,20.33,26.4,27.2,11.2,13.1,55.0,77.67,92.0,0.0,1020.8,15.0,0.53
7,18.0,16.0,20.63,24.9,26.5,6.899999999999999,10.5,50.0,70.33,83.0,0.0,1017.53,19.67,1.1
11,14.8,14.8,16.87,19.2,19.2,4.399999999999999,4.399999999999999,76.0,82.33,89.0,0.0,1019.5,6.0,1.2
9,14.8,14.1,17.8,23.6,25.4,8.8,11.299999999999999,68.0,84.33,96.0,0.0,1018.97,10.67,0.97
6,17.0,15.8,18.0,19.0,19.4,2.0,3.599999999999998,90.0,92.33,94.0,14.5,1017.93,26.0,1.5
10,15.8,15.0,18.2,22.6,22.9,6.800000000000001,7.899999999999999,77.0,92.0,100.0,0.6,1016.97,7.67,0.57
7,16.6,15.8,20.03,24.5,25.0,7.899999999999999,9.2,63.0,84.67,98.0,0.0,1015.27,16.67,1.17
7,16.7,15.6,18.03,19.1,19.1,2.400000000000002,3.5000000000000018,97.0,97.0,97.0,13.100000000000001,1015.23,4.67,0.53
9,15.6,15.1,16.53,18.2,19.6,2.5999999999999996,4.500000000000002,93.0,94.33,95.0,0.6,1019.37,13.67,1.93
8,15.0,14.6,19.8,27.4,28.2,12.399999999999999,13.6,61.0,85.67,100.0,0.1,1018.33,4.67,0.33
3,19.3,18.0,23.17,28.6,29.6,9.3,11.600000000000001,59.0,79.0,89.0,0.0,1018.17,15.0,0.33
3,19.0,19.0,20.53,22.4,22.4,3.3999999999999986,3.3999999999999986,81.0,90.0,96.0,20.6,1016.0,13.67,0.97
7,18.0,16.6,22.07,29.0,29.2,11.0,12.599999999999998,58.0,83.33,98.0,0.0,1012.13,24.0,0.57
13,15.7,14.2,18.7,24.4,24.4,8.7,10.2,74.0,86.0,94.0,20.599999999999998,1015.83,27.0,1.03
5,10.4,9.2,13.63,16.3,17.0,5.9,7.800000000000001,46.0,70.67,85.0,0.0,1021.1,12.0,0.77
9,8.6,6.7,11.73,17.4,18.1,8.799999999999999,11.400000000000002,56.0,81.67,95.0,0.0,1020.9,15.0,0.27
10,8.0,6.6,12.73,19.4,20.2,11.399999999999999,13.6,54.0,80.33,97.0,0.0,1019.6,7.67,0.23
4,11.0,9.5,13.6,17.0,19.2,6.0,9.7,90.0,93.33,98.0,0.5,1010.77,0.0,0.0
12,11.6,9.0,13.93,15.8,15.8,4.200000000000001,6.800000000000001,68.0,83.67,100.0,8.0,1012.27,12.33,1.7
10,5.4,4.2,9.7,14.7,15.7,9.299999999999999,11.5,58.0,78.33,96.0,0.0,1014.77,9.0,0.1
5,8.2,7.0,10.27,13.4,14.3,5.200000000000001,7.300000000000001,50.0,78.33,96.0,0.0,1013.67,13.67,2.53
10,4.4,3.2,8.47,11.8,12.6,7.4,9.399999999999999,48.0,58.67,74.0,0.0,1023.7,30.33,1.97
8,4.2,2.8,9.67,18.6,19.2,14.400000000000002,16.4,47.0,75.0,95.0,0.0,1020.77,3.0,0.1
10,12.6,10.3,14.9,18.9,20.6,6.299999999999999,10.3,79.0,83.67,88.0,1.2,1012.9,7.67,0.27
5,18.5,18.0,21.27,26.7,27.1,8.2,9.100000000000001,73.0,85.67,94.0,0.3,1008.7,7.67,0.17
11,12.8,12.4,15.07,19.4,19.4,6.599999999999998,6.999999999999998,95.0,96.0,97.0,32.7,1018.93,11.0,1.13
6,11.2,9.4,12.2,12.8,13.4,1.6000000000000014,4.0,74.0,85.0,93.0,4.3,1024.23,19.67,3.2
10,6.8,5.0,9.47,12.2,12.9,5.3999999999999995,7.9,61.0,76.67,85.0,0.0,1031.17,19.67,1.27
5,5.8,4.0,9.27,15.0,15.6,9.2,11.6,68.0,86.0,96.0,0.0,1030.67,4.67,1.2
7,11.8,11.8,14.03,16.5,17.0,4.699999999999999,5.199999999999999,70.0,79.33,90.0,0.0,1024.8,10.67,3.03
4,13.4,11.7,15.37,18.3,19.4,4.9,7.699999999999999,64.0,78.0,89.0,0.0,1029.43,9.0,2.67
8,13.8,11.6,15.8,19.6,20.1,5.800000000000001,8.500000000000002,54.0,72.33,84.0,0.0,1028.83,10.67,2.47
11,11.5,10.2,15.57,21.0,21.6,9.5,11.400000000000002,59.0,77.67,92.0,0.0,1023.63,13.67,1.53
5,11.8,10.3,16.37,21.7,22.0,9.899999999999999,11.7,56.0,71.33,80.0,0.0,1023.83,9.0,1.1
10,12.7,11.0,16.83,21.8,22.6,9.100000000000001,11.600000000000001,46.0,67.33,81.0,0.0,1026.37,1.67,0.43
14,10.1,8.2,15.97,22.0,22.8,11.9,14.600000000000001,49.0,70.0,96.0,0.0,1022.17,1.67,0.33
9,11.4,9.0,16.2,22.1,22.4,10.700000000000001,13.399999999999999,51.0,78.0,94.0,0.0,1023.63,4.67,0.23
8,10.8,9.2,16.07,22.4,22.6,11.599999999999998,13.400000000000002,56.0,80.33,98.0,0.0,1023.57,4.67,0.67
10,10.8,9.2,16.6,24.0,24.3,13.2,15.100000000000001,47.0,74.0,90.0,0.0,1021.1,16.67,0.7
8,14.7,12.4,17.27,20.3,22.2,5.600000000000001,9.799999999999999,68.0,76.67,82.0,0.0,1020.13,9.0,0.27
8,11.2,10.0,13.8,17.0,17.0,5.800000000000001,7.0,80.0,90.67,98.0,20.3,1021.27,18.33,1.67
4,9.4,9.4,10.67,12.6,13.1,3.1999999999999993,3.6999999999999993,97.0,98.0,99.0,39.2,1018.03,33.33,2.63
4,10.2,9.7,11.67,13.4,14.4,3.200000000000001,4.700000000000001,90.0,96.0,100.0,0.9,1020.0,15.33,0.6
8,10.8,9.0,14.9,20.9,20.9,10.099999999999998,11.899999999999999,55.0,83.67,98.0,0.0,1019.5,9.0,0.1
8,12.8,10.0,17.47,25.6,25.9,12.8,15.899999999999999,59.0,78.67,89.0,0.0,1017.33,10.67,1.8
8,17.0,15.6,22.0,30.5,31.1,13.5,15.500000000000002,47.0,72.67,89.0,0.0,1017.93,6.33,1.03
8,20.5,17.0,24.57,30.3,30.5,9.8,13.5,42.0,61.33,78.0,0.0,1016.53,15.0,0.43
12,14.2,11.8,17.3,22.2,22.2,8.0,10.399999999999999,78.0,87.33,93.0,0.0,1020.5,14.0,1.13
14,9.2,8.5,10.8,11.8,12.0,2.6000000000000014,3.5,60.0,80.67,96.0,17.7,1028.97,22.67,2.4
5,7.0,5.0,10.0,13.5,14.2,6.5,9.2,57.0,70.67,85.0,0.0,1031.97,31.67,1.63
9,8.8,5.7,12.23,18.3,18.8,9.5,13.100000000000001,62.0,78.33,89.0,0.0,1030.07,9.0,1.47
6,11.4,8.2,15.37,21.5,21.7,10.1,13.5,50.0,75.0,90.0,0.0,1026.73,15.33,0.97
5,12.4,9.8,14.6,17.6,18.6,5.200000000000001,8.8,69.0,82.67,95.0,0.0,1026.43,10.67,0.7
12,13.6,12.4,17.0,22.8,23.2,9.200000000000001,10.799999999999999,57.0,75.67,93.0,0.0,1027.4,9.33,1.8
6,13.7,11.1,18.0,24.3,24.7,10.600000000000001,13.6,42.0,66.67,79.0,0.0,1024.3,7.67,1.2
6,14.0,9.5,18.73,24.8,25.2,10.8,15.7,49.0,67.67,82.0,0.0,1021.17,9.33,0.67
8,15.6,11.0,20.13,26.4,27.1,10.799999999999999,16.1,49.0,71.0,85.0,0.0,1020.87,6.0,0.87
8,16.7,13.0,20.27,24.7,25.6,8.0,12.600000000000001,57.0,72.33,81.0,0.0,1019.1,3.0,0.87
4,18.3,15.8,19.33,20.7,22.6,2.3999999999999986,6.800000000000001,74.0,77.67,82.0,0.0,1016.57,4.67,0.27
