data,obito,tmin_3h,tmin,temp,tmax_3h,tmax,amplitude_t_3h,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2002-12-06,8,22.2,21.4,25.83,28.5,28.8,6.300000000000001,7.400000000000002,65.0,83.0,95.0,37.1,1009.03,18.0,1.53
2002-12-07,5,24.4,22.1,24.93,25.4,26.5,1.0,4.399999999999999,80.0,81.67,84.0,0.0,1009.67,19.67,1.7
2002-12-08,11,20.6,17.6,22.07,23.4,24.0,2.799999999999997,6.399999999999999,58.0,67.67,86.0,2.4,1015.03,16.67,3.6
2002-12-09,7,19.4,17.8,22.63,25.7,26.4,6.300000000000001,8.599999999999998,56.0,67.67,76.0,0.0,1017.97,13.67,2.37
2002-12-10,10,21.0,19.0,24.07,27.4,28.6,6.399999999999999,9.600000000000001,56.0,64.67,75.0,0.0,1019.27,9.0,2.77
2002-12-11,4,21.3,21.0,23.1,25.2,26.2,3.8999999999999986,5.199999999999999,79.0,81.33,83.0,1.7,1016.47,10.67,1.53
2002-12-12,4,23.0,19.2,25.73,30.4,30.8,7.399999999999999,11.600000000000001,50.0,70.67,83.0,0.2,1012.9,23.0,1.87
2002-12-13,7,22.9,20.0,25.9,30.6,31.2,7.700000000000003,11.2,49.0,71.33,85.0,0.0,1011.9,15.0,1.03
2002-12-14,3,24.8,21.2,26.77,29.0,30.8,4.199999999999999,9.600000000000001,66.0,73.33,80.0,0.0,1011.57,15.33,2.77
2002-12-15,3,23.2,22.0,26.87,31.0,31.2,7.800000000000001,9.2,67.0,76.67,86.0,0.0,1010.4,13.67,1.53
2002-12-16,9,24.8,21.8,27.8,33.0,33.4,8.2,11.599999999999998,52.0,72.0,87.0,0.0,1008.33,16.67,1.9
2002-12-17,8,25.6,20.4,26.4,28.0,28.8,2.3999999999999986,8.400000000000002,62.0,68.33,77.0,0.0,1012.53,30.0,2.03
2002-12-18,6,21.8,15.2,24.4,28.2,28.6,6.399999999999999,13.400000000000002,39.0,56.0,71.0,0.0,1018.27,13.67,1.9
2002-12-22,3,20.8,20.0,26.03,31.4,32.1,10.599999999999998,12.100000000000001,64.0,74.0,86.0,0.0,1012.67,12.0,2.57
2002-12-23,10,21.9,21.9,23.83,27.0,27.0,5.100000000000001,5.100000000000001,75.0,87.67,95.0,11.100000000000001,1007.17,19.67,3.63
2002-12-24,7,18.3,18.2,20.1,21.2,22.1,2.8999999999999986,3.900000000000002,72.0,85.33,95.0,13.0,1011.57,21.33,2.77
2002-12-25,4,17.8,14.7,21.6,26.0,26.6,8.2,11.900000000000002,55.0,69.0,80.0,0.0,1017.23,18.33,2.07
2002-12-26,3,20.4,15.2,24.43,30.5,31.2,10.100000000000001,16.0,44.0,60.67,78.0,0.0,1017.83,12.33,1.7
2002-12-27,7,21.6,17.8,26.83,33.8,34.0,12.199999999999996,16.2,41.0,57.0,76.0,0.0,1014.4,18.0,1.2
2002-12-28,3,25.8,18.5,28.6,32.8,34.4,6.9999999999999964,15.899999999999999,47.0,58.0,67.0,0.0,1011.9,19.67,1.33
2002-12-29,7,26.1,21.0,28.83,34.0,34.6,7.899999999999999,13.600000000000001,48.0,64.67,77.0,0.0,1011.23,16.67,0.5
2002-12-30,12,26.1,23.4,28.47,32.9,33.8,6.799999999999997,10.399999999999999,62.0,71.67,79.0,0.0,1010.77,13.67,1.2
2002-12-31,6,24.4,24.0,26.63,28.5,29.6,4.100000000000001,5.600000000000001,72.0,78.33,86.0,0.0,1011.73,13.67,1.37
2003-01-01,6,25.5,22.6,26.63,28.8,29.6,3.3000000000000007,7.0,70.0,79.33,89.0,0.0,1011.73,15.33,1.7
2003-01-02,2,23.4,21.4,25.43,28.6,29.9,5.200000000000003,8.5,56.0,71.0,79.0,0.0,1013.3,12.33,1.73
